time,open,high,low,close,volume
2025.12.15 05:00,89672.660000,89760.800000,89488.060000,89615.240000,1952
2025.12.15 04:00,89289.770000,89801.750000,89273.240000,89671.940000,2722
2025.12.15 03:00,89319.760000,89551.200000,89228.970000,89287.900000,2770
2025.12.15 02:00,89242.330000,90020.880000,89230.770000,89318.830000,4916
2025.12.15 01:00,88460.170000,89343.250000,88412.590000,89240.910000,5037
2025.12.15 00:00,88165.220000,88700.390000,88058.730000,88452.050000,5026
2025.12.14 23:00,88404.020000,88620.130000,87561.310000,88173.210000,6216
2025.12.14 22:00,88455.000000,88626.580000,87988.350000,88404.840000,3923
2025.12.14 21:00,88561.950000,88722.260000,88347.680000,88451.850000,2315
2025.12.14 20:00,88644.820000,88833.530000,88353.370000,88566.630000,3136
2025.12.14 19:00,89000.730000,89005.720000,88495.090000,88645.460000,2628
2025.12.14 18:00,88812.480000,89077.730000,88714.040000,89002.140000,2654
2025.12.14 17:00,88842.370000,89044.570000,88598.590000,88815.780000,3709
2025.12.14 16:00,89025.310000,89407.150000,88499.740000,88842.830000,3697
2025.12.14 15:00,89114.680000,89185.080000,88868.040000,89020.860000,2926
2025.12.14 14:00,89488.990000,89574.420000,88878.680000,89110.550000,3688
2025.12.14 13:00,89427.130000,89511.970000,89085.290000,89488.850000,3057
2025.12.14 12:00,89361.920000,89683.860000,89115.160000,89430.520000,3678
2025.12.14 11:00,89859.520000,89875.030000,88586.290000,89367.640000,6791
2025.12.14 10:00,90037.540000,90135.640000,89792.590000,89861.070000,2141
2025.12.14 09:00,90130.320000,90169.170000,90015.430000,90037.660000,1196
2025.12.14 08:00,90258.740000,90303.890000,90116.760000,90130.420000,1227
2025.12.14 07:00,90162.590000,90288.180000,90086.890000,90265.330000,952
2025.12.14 06:00,90205.200000,90262.890000,90107.580000,90161.570000,1207
2025.12.14 05:00,90209.230000,90245.070000,90051.740000,90205.700000,1119
2025.12.14 04:00,90274.590000,90353.230000,90129.640000,90214.780000,1094
2025.12.14 03:00,90308.850000,90323.240000,90249.650000,90273.720000,869
2025.12.14 02:00,90309.790000,90402.200000,90255.550000,90304.580000,1056
2025.12.14 01:00,90356.970000,90455.550000,90207.890000,90303.950000,1330
2025.12.14 00:00,90250.220000,90495.860000,90131.870000,90356.660000,1790
2025.12.13 23:00,90138.370000,90303.860000,90067.420000,90256.340000,1484
2025.12.13 22:00,90178.370000,90283.630000,90014.390000,90139.230000,1802
